long,lat,order,hole,piece,id,group,GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
-57.64402771,-38.17652893,58,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64402771,-38.1768074,59,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64458466,-38.1768074,60,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64458466,-38.17708206,61,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64541626,-38.17708206,62,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64541626,-38.17736053,63,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64597321,-38.17736053,64,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64597321,-38.17763901,65,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64625168,-38.17763901,66,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64625168,-38.17791748,67,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64652634,-38.17791748,68,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64652634,-38.17819595,69,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64680481,-38.17819595,70,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64680481,-38.17847061,71,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64708328,-38.17847061,72,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64708328,-38.17874908,73,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64764023,-38.17874908,74,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64764023,-38.17902756,75,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64791489,-38.17902756,76,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64791489,-38.17930603,77,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64847183,-38.17930603,78,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64847183,-38.1795845,79,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64902878,-38.1795845,80,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64902878,-38.17986298,81,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64930725,-38.17986298,82,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64930725,-38.18013763,83,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64986038,-38.18013763,84,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.64986038,-38.18041611,85,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65041733,-38.18041611,86,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65041733,-38.18069458,87,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.6506958,-38.18069458,88,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.6506958,-38.18097305,89,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65097046,-38.18097305,90,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65097046,-38.18152618,91,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65124893,-38.18152618,92,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65124893,-38.1823616,93,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.6515274,-38.1823616,94,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.6515274,-38.18291473,95,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65180588,-38.18291855,96,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65180588,-38.18319321,97,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65208435,-38.18319321,98,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65208435,-38.18347168,99,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65375137,-38.18347168,100,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65375137,-38.18375015,101,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.6543045,-38.18375015,102,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.6543045,-38.18402863,103,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65513992,-38.18402863,104,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65513992,-38.1843071,105,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.6554184,-38.1843071,106,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.6554184,-38.18458176,107,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.655693050000004,-38.18458176,108,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.655693050000004,-38.18486023,109,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65597153,-38.18486023,110,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65597153,-38.1851387,111,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65625,-38.1851387,112,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65625,-38.18541718,113,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65652847,-38.18541718,114,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.65652847,-38.18569565,115,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.656806949999996,-38.18569565,116,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.656806949999996,-38.18597031,117,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.6570816,-38.18597412,118,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.6570816,-38.18624878,119,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
